"index";"date";"length"
1;2016-01-01;34,999860044248
2;2016-01-01;44,8002941936359
3;2016-01-01;33,9881102087545
4;2016-01-01;62,8334296421847
5;2016-01-01;30,1769631139874
6;2016-01-01;76,7261354755637
7;2016-01-01;65,5502024250061
8;2016-01-01;81,2742972954679
9;2016-01-01;66,7550904744218
10;2016-01-01;50,3568640898398
11;2016-01-01;74,3477691527617
12;2016-01-01;47,7919367027865
13;2016-01-01;56,9226526937534
14;2016-01-01;40,3038170905268
15;2016-01-01;35,9166294100133
16;2016-01-01;65,4095906275722
17;2016-01-01;37,1203217911172
18;2016-01-01;38,3736403878815
19;2016-01-01;49,0699102052892
20;2016-01-01;46,511248788692
21;2016-01-01;95,0172357672244
22;2016-01-01;40,8304637330723
23;2016-01-01;77,3427381497783
24;2016-01-01;51,6443740201521
25;2016-01-01;89,0838823349499
26;2016-01-01;82,3159738548941
27;2016-01-01;60,3021982107303
28;2016-01-01;65,0685267914973
29;2016-01-01;78,8865537030981
30;2016-01-01;30,9615130725607
31;2016-01-01;68,1791183720362
32;2016-01-01;73,3984914818456
33;2016-01-01;54,3952437909424
34;2016-01-01;77,0068437967399
35;2016-01-01;62,4090293513135
36;2016-01-01;68,8442504081959
37;2016-01-01;64,6276480670888
38;2016-01-01;84,7743703601214
39;2016-01-01;79,1408684358204
40;2016-01-01;60,6797698819395
41;2016-01-01;48,2171157361032
42;2016-01-01;34,2412466253373
43;2016-01-01;87,7013841678184
44;2016-01-01;41,5293231485169
45;2016-01-01;54,0876408848159
46;2016-01-01;50,5234904815455
47;2016-01-01;47,2659825074576
48;2016-01-01;44,348441064306
49;2016-01-01;64,1724474125451
50;2016-01-01;65,8552492495947
51;2016-01-01;63,0783060909154
52;2016-01-01;64,9723802418671
53;2016-01-01;70,9423407735653
54;2016-01-01;47,5962618709486
55;2016-01-01;39,0607765971225
56;2016-01-01;39,30270322859
57;2016-01-01;97,6886773914088
58;2016-01-01;55,9990666333436
59;2016-01-01;48,4865279844437
60;2016-01-01;94,3509869019369
61;2016-01-01;51,0189989670982
62;2016-01-01;53,3159316727162
63;2016-01-01;61,2199752815655
64;2016-01-01;55,5506789221805
65;2016-01-01;44,8335788016428
66;2016-01-01;78,8338505031233
67;2016-01-01;35,6534610460445
68;2016-01-01;80,7259410020138
69;2016-01-01;31,1365498344282
70;2016-01-01;51,8556668385805
71;2016-01-01;41,6962365458684
72;2016-01-01;80,7932978169295
73;2016-01-01;55,3490251316589
74;2016-01-01;50,194801293996
75;2016-01-01;30,8455655282301
76;2016-01-01;30,8933363810646
77;2016-01-01;66,816993467931
78;2016-01-01;38,0040035180763
79;2016-01-01;45,0316879913521
80;2016-01-01;94,9152537682193
81;2016-01-01;55,9342632050387
82;2016-01-01;47,8262303989839
83;2016-01-01;70,3080957863554
84;2016-01-01;37,272448502785
85;2016-01-01;59,1811524891087
86;2016-01-01;51,0868521761267
87;2016-01-01;37,3947628449386
88;2016-01-01;67,7168117914619
89;2016-01-01;43,9219963605506
90;2016-01-01;79,5290336849377
91;2016-01-01;48,9216829029558
92;2016-01-01;30,9406158015242
93;2016-01-01;33,4961568641272
94;2016-01-01;35,7991667540294
95;2016-01-01;48,7460822952903
96;2016-01-01;81,3669458246213
97;2016-01-01;35,3125384606088
98;2016-01-01;70,8880399367331
99;2016-01-01;84,2832700633368
100;2016-01-01;36,6654836821317
101;2016-01-01;68,9554335960627
102;2016-01-01;52,8314842984495
103;2016-01-01;34,1599192583087
104;2016-01-01;37,4532500954893
105;2016-01-01;69,947917627649
106;2016-01-01;52,3634272264685
107;2016-01-01;35,5415893258739
108;2016-01-01;84,8250186690437
109;2016-01-01;60,3603783178442
110;2016-01-01;118,980432658044
111;2016-01-01;47,2496517000387
112;2016-01-01;35,2758502286413
113;2016-01-01;110,147258158058
114;2016-01-01;78,8448068173765
115;2016-01-01;59,5633582999226
116;2016-01-01;76,3916342953518
117;2016-01-01;51,5359701308913
118;2016-01-01;95,1385445141076
119;2016-01-01;46,7229451605526
120;2016-01-01;48,5860469925198
121;2016-01-01;39,6278524307225
122;2016-01-01;30,6100692678415
123;2016-01-01;61,3161049587499
124;2016-01-01;45,7573845449491
125;2016-01-01;46,4171438135911
126;2016-01-01;59,4862488087388
127;2016-01-01;72,0047302205557
128;2016-01-01;45,5018264546271
129;2016-01-01;47,8487753921872
130;2016-01-01;30,2988325488095
131;2016-01-01;64,3184851087064
132;2016-01-01;58,3063174843174
133;2016-01-01;64,0931486001463
134;2016-01-01;52,0438661366884
135;2016-01-01;63,0345610751377
